company,rank,bill_number,total_amount,budget_fraction
3M,1,S.428,559340.41,0.06739
3M,2,H.R.3611,448340.41,0.054017
3M,3,S.403,438840.41,0.052872
3M,4,S.108,438840.41,0.052872
3M,5,H.R.184,438840.41,0.052872
3M,6,H.R.1175,438840.41,0.052872
3M,7,H.R.1204,398340.41,0.047993
3M,8,H.R.1090,308340.41,0.037149
3M,9,S.1827,298340.41,0.035945
3M,10,H.R.3922,298340.41,0.035945
3M,11,H.R.1628,265551.72,0.031994
3M,12,S.1885,232340.41,0.027993
3M,13,H.R.3388,232340.41,0.027993
3M,14,H.R.2430,230551.72,0.027777
3M,15,H.R.2,173500.0,0.020904
3M,16,S.2108,147340.41,0.017752
3M,17,H.R.4318,147340.41,0.017752
3M,18,H.R.3325,113312.5,0.013652
3M,19,H.R.195,110788.69,0.013348
3M,20,S.1405,110788.69,0.013348
3M,21,H.R.6274,97500.0,0.011747
3M,22,H.R.3422,97500.0,0.011747
3M,23,H.R.5273,97500.0,0.011747
3M,24,S.1780,92027.91,0.011088
3M,25,H.R.6266,92027.91,0.011088
3M,26,H.R.3362,92027.91,0.011088
3M,27,H.R.3353,92027.91,0.011088
3M,28,H.R.3219,92027.91,0.011088
3M,29,H.R.1370,92027.91,0.011088
3M,30,S.1609,92027.91,0.011088
ABBOTT LABORATORIES,1,H.R.761,1162500.0,0.179675
ABBOTT LABORATORIES,2,H.R.1599,608690.48,0.094079
ABBOTT LABORATORIES,3,S.2621,608690.48,0.094079
ABBOTT LABORATORIES,4,H.R.2998,506190.48,0.078237
ABBOTT LABORATORIES,5,H.R.6,467023.81,0.072183
ABBOTT LABORATORIES,6,H.R.2997,404833.33,0.062571
ABBOTT LABORATORIES,7,H.R.2,378166.67,0.058449
ABBOTT LABORATORIES,8,H.R.3271,357857.14,0.05531
ABBOTT LABORATORIES,9,H.R.3219,357857.14,0.05531
ABBOTT LABORATORIES,10,S.1557,357857.14,0.05531
ABBOTT LABORATORIES,11,H.R.5009,275666.67,0.042607
ABBOTT LABORATORIES,12,H.R.5776,275666.67,0.042607
ABBOTT LABORATORIES,13,S.2848,275666.67,0.042607
ABBOTT LABORATORIES,14,H.R.2474,148333.33,0.022926
ABBOTT LABORATORIES,15,S.2098,102500.0,0.015842
ABBOTT LABORATORIES,16,H.R.1892,102500.0,0.015842
ABBOTT LABORATORIES,17,S.108,7272.73,0.001124
