source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
3M,ABBOTT LABORATORIES,0.007701,0.010782,4,1,2,7,3
ABBOTT LABORATORIES,3M,0.003081,0.010782,1,4,2,7,-3
3M,ABBVIE,0.0,0.000468,0,1,0,1,-1
ABBVIE,3M,0.000468,0.000468,1,0,0,1,1
3M,AIG,0.010071,0.020143,1,1,2,4,0
AIG,3M,0.010071,0.020143,1,1,2,4,0
3M,ALASKA AIR GROUP,0.000846,0.001691,1,1,0,2,0
ALASKA AIR GROUP,3M,0.000846,0.001691,1,1,0,2,0
3M,ALLSTATE,0.000103,0.000413,0,1,1,2,-1
ALLSTATE,3M,0.00031,0.000413,1,0,1,2,1
3M,ALPHABET,0.012504,0.018756,1,0,2,3,1
ALPHABET,3M,0.006252,0.018756,0,1,2,3,-1
3M,ALTRIA GROUP,0.000655,0.000655,1,0,0,1,1
ALTRIA GROUP,3M,0.0,0.000655,0,1,0,1,-1
3M,AMAZON,0.006599,0.019796,0,1,2,3,-1
AMAZON,3M,0.013197,0.019796,1,0,2,3,1
3M,AMEREN,0.0,0.000799,0,1,0,1,-1
AMEREN,3M,0.000799,0.000799,1,0,0,1,1
3M,AMERICAN AIRLINES GROUP,0.0,0.000266,0,2,0,2,-2
AMERICAN AIRLINES GROUP,3M,0.000266,0.000266,2,0,0,2,2
3M,AMERICAN ELECTRIC POWER,0.0,0.001643,0,1,0,1,-1
AMERICAN ELECTRIC POWER,3M,0.001643,0.001643,1,0,0,1,1
3M,AMERICAN FAMILY INSURANCE GROUP,0.000128,0.000513,0,1,1,2,-1
AMERICAN FAMILY INSURANCE GROUP,3M,0.000384,0.000513,1,0,1,2,1
3M,AMERIPRISE FINANCIAL,0.077869,0.155739,0,0,2,2,0
AMERIPRISE FINANCIAL,3M,0.077869,0.155739,0,0,2,2,0
3M,AMGEN,0.0,0.031582,0,2,0,2,-2
AMGEN,3M,0.031582,0.031582,2,0,0,2,2
3M,AT&T,0.011913,0.047651,0,1,1,2,-1
AT&T,3M,0.035738,0.047651,1,0,1,2,1
3M,BALL,0.001188,0.002377,1,1,2,4,0
BALL,3M,0.001188,0.002377,1,1,2,4,0
3M,BAXTER INTERNATIONAL,0.0,0.011506,0,1,0,1,-1
BAXTER INTERNATIONAL,3M,0.011506,0.011506,1,0,0,1,1
3M,BECTON DICKINSON,0.076348,0.122157,2,1,1,4,1
BECTON DICKINSON,3M,0.045809,0.122157,1,2,1,4,-1
3M,BERKSHIRE HATHAWAY,0.0,0.001643,0,1,0,1,-1
BERKSHIRE HATHAWAY,3M,0.001643,0.001643,1,0,0,1,1
3M,BLACKSTONE GROUP,0.009277,0.024737,1,2,1,4,-1
BLACKSTONE GROUP,3M,0.015461,0.024737,2,1,1,4,1
3M,BOEING,0.0,0.009674,0,2,0,2,-2
BOEING,3M,0.009674,0.009674,2,0,0,2,2
3M,BOSTON SCIENTIFIC,0.054367,0.144979,0,1,3,4,-1
BOSTON SCIENTIFIC,3M,0.090612,0.144979,1,0,3,4,1
3M,BRISTOL-MYERS SQUIBB,0.00065,0.001301,0,0,1,1,0
BRISTOL-MYERS SQUIBB,3M,0.00065,0.001301,0,0,1,1,0
3M,CARDINAL HEALTH,0.110108,0.157298,3,1,1,5,2
CARDINAL HEALTH,3M,0.047189,0.157298,1,3,1,5,-2
3M,CATERPILLAR,0.006707,0.020121,0,1,2,3,-1
CATERPILLAR,3M,0.013414,0.020121,1,0,2,3,1
3M,CENTENE,0.019895,0.03979,2,2,2,6,0
CENTENE,3M,0.019895,0.03979,2,2,2,6,0
3M,CIGNA,0.002185,0.008741,0,1,1,2,-1
CIGNA,3M,0.006556,0.008741,1,0,1,2,1
3M,CISCO SYSTEMS,0.010815,0.01442,1,0,1,2,1
CISCO SYSTEMS,3M,0.003605,0.01442,0,1,1,2,-1
3M,COCA-COLA,0.001028,0.001028,1,0,0,1,1
COCA-COLA,3M,0.0,0.001028,0,1,0,1,-1
3M,CUMMINS,0.010253,0.025633,0,1,4,5,-1
CUMMINS,3M,0.01538,0.025633,1,0,4,5,1
3M,DEERE,0.004295,0.004295,1,0,0,1,1
DEERE,3M,0.0,0.004295,0,1,0,1,-1
3M,DELL TECHNOLOGIES,0.000147,0.000882,0,2,1,3,-2
DELL TECHNOLOGIES,3M,0.000735,0.000882,2,0,1,3,2
3M,DELTA AIR LINES,0.001193,0.004771,1,4,1,6,-3
DELTA AIR LINES,3M,0.003578,0.004771,4,1,1,6,3
3M,DTE ENERGY,0.0,0.026834,0,1,0,1,-1
DTE ENERGY,3M,0.026834,0.026834,1,0,0,1,1
3M,ECOLAB,0.009464,0.018928,1,1,1,3,0
ECOLAB,3M,0.009464,0.018928,1,1,1,3,0
3M,ELI LILLY,0.008061,0.012092,1,0,2,3,1
ELI LILLY,3M,0.004031,0.012092,0,1,2,3,-1
3M,ENTERGY,0.0,4.5e-05,0,1,0,1,-1
ENTERGY,3M,4.5e-05,4.5e-05,1,0,0,1,1
3M,EVERSOURCE ENERGY,0.000468,0.000468,1,0,0,1,1
EVERSOURCE ENERGY,3M,0.0,0.000468,0,1,0,1,-1
3M,EXXONMOBIL,0.000512,0.001024,0,0,1,1,0
EXXONMOBIL,3M,0.000512,0.001024,0,0,1,1,0
3M,FEDEX,0.001413,0.00848,0,2,1,3,-2
FEDEX,3M,0.007066,0.00848,2,0,1,3,2
3M,FIRSTENERGY,0.0,0.001688,0,2,0,2,-2
FIRSTENERGY,3M,0.001688,0.001688,2,0,0,2,2
3M,FLUOR,0.000429,0.002577,0,2,1,3,-2
FLUOR,3M,0.002147,0.002577,2,0,1,3,2
3M,FORD,0.009077,0.018153,0,0,2,2,0
FORD,3M,0.009077,0.018153,0,0,2,2,0
3M,GENERAL DYNAMICS,0.0,0.001688,0,2,0,2,-2
GENERAL DYNAMICS,3M,0.001688,0.001688,2,0,0,2,2
3M,GENERAL ELECTRIC,0.068555,0.164533,1,2,3,6,-1
GENERAL ELECTRIC,3M,0.095978,0.164533,2,1,3,6,1
3M,GENERAL MOTORS,0.005158,0.015474,0,1,2,3,-1
GENERAL MOTORS,3M,0.010316,0.015474,1,0,2,3,1
3M,GUARDIAN LIFE INS. CO. OF AMERICA,0.001604,0.006418,0,1,1,2,-1
GUARDIAN LIFE INS. CO. OF AMERICA,3M,0.004813,0.006418,1,0,1,2,1
3M,HARTFORD FINANCIAL SERVICES,0.002545,0.00509,0,0,2,2,0
HARTFORD FINANCIAL SERVICES,3M,0.002545,0.00509,0,0,2,2,0
3M,HCA HEALTHCARE,0.005341,0.005341,2,0,0,2,2
HCA HEALTHCARE,3M,0.0,0.005341,0,2,0,2,-2
3M,HOME DEPOT,0.0,0.012762,0,1,0,1,-1
HOME DEPOT,3M,0.012762,0.012762,1,0,0,1,1
3M,HUMANA,0.004313,0.012938,0,1,2,3,-1
HUMANA,3M,0.008625,0.012938,1,0,2,3,1
3M,IBM,0.0,0.000617,0,1,0,1,-1
IBM,3M,0.000617,0.000617,1,0,0,1,1
3M,INTEL,0.009077,0.018153,0,0,2,2,0
INTEL,3M,0.009077,0.018153,0,0,2,2,0
3M,KROGER,0.0,0.002685,0,1,0,1,-1
KROGER,3M,0.002685,0.002685,1,0,0,1,1
3M,LEIDOS HOLDINGS,0.0,0.001174,0,4,0,4,-4
LEIDOS HOLDINGS,3M,0.001174,0.001174,4,0,0,4,4
3M,LIBERTY MUTUAL INSURANCE GROUP,0.006484,0.012969,0,0,2,2,0
LIBERTY MUTUAL INSURANCE GROUP,3M,0.006484,0.012969,0,0,2,2,0
3M,LOCKHEED MARTIN,0.0,0.000166,0,1,0,1,-1
LOCKHEED MARTIN,3M,0.000166,0.000166,1,0,0,1,1
3M,MARATHON PETROLEUM,5.5e-05,5.5e-05,1,0,0,1,1
MARATHON PETROLEUM,3M,0.0,5.5e-05,0,1,0,1,-1
3M,MOLINA HEALTHCARE,0.005325,0.01065,1,1,2,4,0
MOLINA HEALTHCARE,3M,0.005325,0.01065,1,1,2,4,0
3M,MUTUAL OF OMAHA INSURANCE,0.0,0.012807,0,1,0,1,-1
MUTUAL OF OMAHA INSURANCE,3M,0.012807,0.012807,1,0,0,1,1
3M,NATIONWIDE,0.000456,0.001823,0,1,1,2,-1
NATIONWIDE,3M,0.001367,0.001823,1,0,1,2,1
3M,NORTHROP GRUMMAN,0.00018,0.001438,0,3,1,4,-3
NORTHROP GRUMMAN,3M,0.001258,0.001438,3,0,1,4,3
3M,ORACLE,5e-05,0.0001,0,0,1,1,0
ORACLE,3M,5e-05,0.0001,0,0,1,1,0
3M,PG&E,0.001801,0.002701,1,0,2,3,1
PG&E,3M,0.0009,0.002701,0,1,2,3,-1
3M,PHILLIPS 66,0.001387,0.002773,0,0,2,2,0
PHILLIPS 66,3M,0.001387,0.002773,0,0,2,2,0
3M,PPG INDUSTRIES,0.009739,0.019478,2,2,2,6,0
PPG INDUSTRIES,3M,0.009739,0.019478,2,2,2,6,0
3M,PPL,0.003368,0.006737,1,1,0,2,0
PPL,3M,0.003368,0.006737,1,1,0,2,0
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.0,4.5e-05,0,1,0,1,-1
PUBLIC SERVICE ENTERPRISE GROUP,3M,4.5e-05,4.5e-05,1,0,0,1,1
3M,QUALCOMM,0.009032,0.018063,0,0,2,2,0
QUALCOMM,3M,0.009032,0.018063,0,0,2,2,0
3M,RAYTHEON,0.0,0.000413,0,2,0,2,-2
RAYTHEON,3M,0.000413,0.000413,2,0,0,2,2
3M,RITE AID,0.011412,0.015217,1,0,1,2,1
RITE AID,3M,0.003804,0.015217,0,1,1,2,-1
3M,ROCKWELL COLLINS,0.0,0.000342,0,2,0,2,-2
ROCKWELL COLLINS,3M,0.000342,0.000342,2,0,0,2,2
3M,SOUTHERN,0.0,0.001643,0,1,0,1,-1
SOUTHERN,3M,0.001643,0.001643,1,0,0,1,1
3M,STATE FARM INSURANCE,0.003657,0.007314,0,0,2,2,0
STATE FARM INSURANCE,3M,0.003657,0.007314,0,0,2,2,0
3M,TESLA,0.003983,0.007965,1,1,2,4,0
TESLA,3M,0.003983,0.007965,1,1,2,4,0
3M,TEXAS INSTRUMENTS,0.006106,0.018319,0,1,2,3,-1
TEXAS INSTRUMENTS,3M,0.012213,0.018319,1,0,2,3,1
3M,TEXTRON,0.0,0.001864,0,5,0,5,-5
TEXTRON,3M,0.001864,0.001864,5,0,0,5,5
3M,UNION PACIFIC,0.000791,0.003163,0,1,1,2,-1
UNION PACIFIC,3M,0.002372,0.003163,1,0,1,2,1
3M,UNITED AIRLINES HOLDINGS,0.0,0.001643,0,1,0,1,-1
UNITED AIRLINES HOLDINGS,3M,0.001643,0.001643,1,0,0,1,1
3M,UNITED PARCEL SERVICE,0.014559,0.029118,2,2,3,7,0
UNITED PARCEL SERVICE,3M,0.014559,0.029118,2,2,3,7,0
3M,UNITED TECHNOLOGIES,0.000821,0.001643,0,0,1,1,0
UNITED TECHNOLOGIES,3M,0.000821,0.001643,0,0,1,1,0
3M,USAA,0.024727,0.030909,3,0,2,5,3
USAA,3M,0.006182,0.030909,0,3,2,5,-3
3M,VERIZON,0.005083,0.015249,1,2,0,3,-1
VERIZON,3M,0.010166,0.015249,2,1,0,3,1
3M,VISA,0.013882,0.05553,0,1,1,2,-1
VISA,3M,0.041647,0.05553,1,0,1,2,1
3M,WALMART,0.010213,0.013618,1,0,1,2,1
WALMART,3M,0.003404,0.013618,0,1,1,2,-1
3M,WELLCARE HEALTH PLANS,0.007789,0.031155,1,3,0,4,-2
WELLCARE HEALTH PLANS,3M,0.023366,0.031155,3,1,0,4,2
